ccgp_project_id,Sample,genus,species,likely_assignment,minicore_seq_id,Group,Kingdom,Phylum,Class,Order,Family
1-Layia,BGB1696_LG,Layia,glandulosa,no_pop_analysis,Layiglan_BGB1696_LG,HerbaceousPlants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
1-Layia,BGB1714_LG,Layia,glandulosa,no_pop_analysis,Layiglan_BGB1714_LG,HerbaceousPlants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
1-Layia,BGB1712_LG,Layia,glandulosa,no_pop_analysis,Layiglan_BGB1712_LG,HerbaceousPlants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
1-Layia,BGB1717_LG,Layia,glandulosa,no_pop_analysis,Layiglan_BGB1717_LG,HerbaceousPlants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
1-Layia,BGB1683_LG,Layia,glandulosa,no_pop_analysis,Layiglan_BGB1683_LG,HerbaceousPlants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
1-Layia,BGB1709_LG,Layia,glandulosa,no_pop_analysis,Layiglan_BGB1709_LG,HerbaceousPlants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
1-Layia,BGB1318_LG,Layia,discoidea,no_pop_analysis,Layidisc_BGB1318_LG,HerbaceousPlants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
1-Layia,BGB1687_LG,Layia,glandulosa,no_pop_analysis,Layiglan_BGB1687_LG,HerbaceousPlants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
1-Layia,BGB1692_LG,Layia,glandulosa,no_pop_analysis,Layiglan_BGB1692_LG,HerbaceousPlants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
1-Layia,BGB1707_LG,Layia,glandulosa,no_pop_analysis,Layiglan_BGB1707_LG,HerbaceousPlants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
1-Layia,BGB1721_LG,Layia,glandulosa,no_pop_analysis,Layiglan_BGB1721_LG,HerbaceousPlants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
1-Layia,BGB1686_LG,Layia,glandulosa,no_pop_analysis,Layiglan_BGB1686_LG,HerbaceousPlants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
1-Layia,BGB1705_LG,Layia,glandulosa,no_pop_analysis,Layiglan_BGB1705_LG,HerbaceousPlants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
1-Layia,AA4_LG,Layia,glandulosa,no_pop_analysis,Layiglan_AA4_LG,HerbaceousPlants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
