ccgp_project_id	Sample	genus	species	Group	Kingdom	Phylum	Class	Order	Family	land_type
1-Layia	Layidisc_RO2_LG	Layia	discoidea	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layidisc_RO1_LG	Layia	discoidea	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layidisc_RO3_LG	Layia	discoidea	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layidisc_RO4_LG	Layia	discoidea	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layiglan_AA11_LG	Layia	glandulosa	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layiglan_BGB1724_LG	Layia	glandulosa	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layiglan_AA7_LG	Layia	glandulosa	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layiglan_BGB1725_LG	Layia	glandulosa	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layiglan_AA10_LG	Layia	glandulosa	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layiglan_RO38_LG	Layia	glandulosa	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layiglan_AA3_LG	Layia	glandulosa	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layiglan_RO34_LG	Layia	glandulosa	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layiglan_RO19_LG	Layia	glandulosa	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layiglan_AA2_LG	Layia	glandulosa	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layiglan_RO29_LG	Layia	glandulosa	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layiglan_RO30_LG	Layia	glandulosa	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layiglan_AA1_LG	Layia	glandulosa	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layiglan_BGB1723_LG	Layia	glandulosa	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layiglan_AA4_LG	Layia	glandulosa	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
1-Layia	Layiglan_RO35_LG	Layia	glandulosa	HerbaceousPlants	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	terrestrial
