ccgp_project_id	cluster	species_present
1-Layia	K1	glandulosa_x33
1-Layia	K2	discoidea_x4,glandulosa_x15
1-Layia	K3	glandulosa_x14
1-Layia	NA	glandulosa_x4,pentachaeta_x1
10-Mimulus	K1	lacinatus_x92
10-Mimulus	K2	guttatus_x68,lacinatus_x2
10-Mimulus	NA	guttatus_x6,lacinatus_x14
100-Charadrius	K1	nivosus_x7
100-Charadrius	K2	nivosus_x7
100-Charadrius	K3	nivosus_x88
100-Charadrius	NA	nivosus_x12
101-Tamalia	K1	coweni_x66,inquilinus_x12
101-Tamalia	K2	coweni_x61
101-Tamalia	NA	coweni_x9
102-Apodemia	K1	mormo_x57
102-Apodemia	K2	mormo_x124
102-Apodemia	NA	mormo_x15
102-Colias	K1	behrii_x24
102-Euphydryas	K1	editha_x64
102-Euphydryas	K2	editha_x217
102-Euphydryas	NA	editha_x24
102-Oeneis	K1	chryxus_x22
102-Parnassius	K1	behrii_x16
102-Parnassius	K2	behrii_x24
102-Parnassius	NA	behrii_x2
103-Opuntia	K1	basilaris_x50
106-Rhinichthys	K1	osculus_x25
106-Rhinichthys	K2	osculus_x16
106-Rhinichthys	K3	osculus_x32
106-Rhinichthys	K4	osculus_x14
106-Rhinichthys	NA	osculus_x21
107-Gasterosteus	K1	aculeatus_x86
107-Gasterosteus	K2	aculeatus_x19
107-Gasterosteus	NA	aculeatus_x1
11-Aptostichus	K1	miwok_x16
11-Aptostichus	K2	miwok_x1,sp._x3,stephencolberti_x10
11-Aptostichus	NA	miwok_x2
12-Selasphorus	K1	sasin_x39
12-Selasphorus	K2	sasin_x24
12-Selasphorus	NA	sasin_x32
15-Eschscholzia	K1	californica_x112
15-Eschscholzia	K2	californica_x39
15-Eschscholzia	NA	californica_x44
16-Ariolimax	K1	sp._x29
16-Ariolimax	K2	sp._x17
16-Ariolimax	K3	sp._x22
16-Ariolimax	NA	sp._x5
17-Anthopleura	K1	sola_x142
17-Lottia	K1	scabra_x32
17-Lottia	K2	scabra_x71
17-Lottia	NA	scabra_x37
17-Mytilus	K1	californianus_x141
17-Semicossyphus	K1	pulcher_x95
17-Tetraclita	K1	rubescens_x100
17-Tivela	K1	stultorum_x93
19A-Quercus	K1	agrifolia_x93
19B-Quercus	K1	parvula_x76
19C-Quercus	K1	wislizeni_x75
2-Doryteuthis	K1	opalescens_x98
2-Paralichthys	K1	californicus_x38
2-Sebastes	K1	entomelas_x167
24-Oncorhynchus	K1	mykiss_x65
24-Oncorhynchus	K2	clarkii_x21
24-Oncorhynchus	NA	clarkii_x6
25-Enhydra	K1	lutris_x48
25-Enhydra	K2	lutris_x5
26-Cebidichthys	K1	violaceus_x110
27-Tetragnatha	K1	sp._x2,versicolor_x50
27-Tetragnatha	K2	guatemalensis_x1,sp._x3,versicolor_x10
27-Tetragnatha	K3	sp._x6,versicolor_x53
27-Tetragnatha	NA	sp._x1,versicolor_x4
29-Carcharodon	K1	carcharias_x41
3-Setophaga	K1	petechia_x132
31-Phyllospadix	K1	scouleri_x3,torreyi_x95,torreyi.scouleri_x3
31-Phyllospadix	K2	scouleri_x54,torreyi_x2,torreyi.scouleri_x7
31-Phyllospadix	NA	scouleri_x10,torreyi_x1,torreyi.scouleri_x7
32-Aquilegia	K1	eximia_x2,formosa_x101
32-Aquilegia	K2	eximia_x5,formosa_x2,pubescens_x62
32-Aquilegia	K3	eximia_x83,formosa_x2,pubescens_x4
32-Aquilegia	NA	eximia_x3,formosa_x27,pubescens_x20
33-Eucyclogobius	K1	kristinae_x2,newberryi_x69
33-Eucyclogobius	K2	newberryi_x33
33-Eucyclogobius	K3	kristinae_x41
33-Eucyclogobius	NA	newberryi_x35
34-Leuresthes	K1	tenuis_x100
35-Arctostaphylos	K1	montereyensis_x14,pajaroensis_x14,pechoensis_x10
35-Arctostaphylos	K2	otayensis_x9,rainbowensis_x11
35-Arctostaphylos	K3	glauca_x52
35-Arctostaphylos	NA	glauca_x9,luciana_x13
39-Asterella	K1	californica_x50
39-Asterella	K2	californica_x18
39-Asterella	NA	californica_x27
4-Macrocystis	K1	pyrifera_x48
4-Macrocystis	K2	pyrifera_x27
4-Macrocystis	NA	pyrifera_x13
4-Strongylocentrotus	K1	purpuratus_x136
41-Artemisiospiza	K1	belli_x46
41-Artemisiospiza	K2	belli_x23
41-Artemisiospiza	K3	belli_x26,nevadensis_x7
41-Artemisiospiza	NA	belli_x49,nevadensis_x1
41-Callipepla	K1	californica_x26
41-Callipepla	K2	californica_x1,gambelii_x13
41-Callipepla	K3	californica_x49
41-Callipepla	NA	californica_x31
41-Chamaea	K1	fasciata_x75
41-Chamaea	K2	fasciata_x73
41-Chamaea	NA	fasciata_x11
41-Cyanocitta	K1	stelleri_x15
41-Cyanocitta	K2	stelleri_x114
41-Cyanocitta	K3	stelleri_x12
41-Cyanocitta	NA	stelleri_x9
41-Dipodomys	K1	stephensi_x6
41-Dipodomys	K2	panamintinus_x40
41-Dipodomys	K3	ingens_x8
41-Dipodomys	K4	merriami_x46
41-Dipodomys	K5	nitratoides_x21
41-Dipodomys	K6	heermanni_x19,ingens_x2
41-Dipodomys	NA	merriami_x1,stephensi_x1
41-Melanerpes	K1	formicivorus_x149
41-Melospiza	K1	melodia_x129
41-Melospiza	K2	melodia_x14
41-Melospiza	NA	melodia_x6
41-Microtus	K1	californicus_x96
41-Oreortyx	K1	pictus_x32
41-Oreortyx	K2	pictus_x26
41-Oreortyx	K3	pictus_x50
41-Oreortyx	NA	pictus_x46
41-Passerculus	K1	sandwichensis_x48
41-Passerculus	K2	sandwichensis_x31
41-Passerculus	K3	sandwichensis_x43
41-Passerculus	NA	sandwichensis_x29
41-Perognathus	K1	inornatus_x58,longimembris_x30
41-Perognathus	K2	alticola_x12,mollipilosus_x104,NA_x10
41-Perognathus	K3	amplus_x68,inornatus_x60,longimembris_x16,NA_x10
41-Perognathus	K4	longimembris_x204
41-Perognathus	NA	flavescens_x4,flavus_x4,inornatus_x2,longimembris_x58
41-Peromyscus	K1	maniculatus_x15
41-Peromyscus	K2	maniculatus_x129
41-Reithrodontomys	K1	raviventris_x20
41-Reithrodontomys	K2	megalotis_x73,raviventris_x3
41-Sorex	K1	ornatus_x46
41-Sorex	K2	ornatus_x1,vagrans_x47
41-Sorex	NA	vagrans_x1
41-Thomomys	K1	bottae_x20
41-Thomomys	K2	bottae_x43
41-Thomomys	K3	bottae_x22
41-Thomomys	NA	bottae_x10
45-Fremontodendron	K1	mexicanum_x8
45-Fremontodendron	K2	californicum_x43
45-Fremontodendron	K3	aff._x30,californicum_x12,decumbens_x24
45-Fremontodendron	NA	aff._x1,californicum_x34,decumbens_x3
46-Haliotis	K1	cracherodii_x123
47-Nereocystis	K1	luetkeana_x36
47-Nereocystis	K2	luetkeana_x25
47-Nereocystis	NA	luetkeana_x23
5-Mirounga	K1	angustirostris_x54
55-Acmispon	K1	strigosus_x35
55-Acmispon	K2	strigosus_x47
55-Acmispon	NA	strigosus_x8
57-Neostapfia	K1	colusana_x76
57-Neostapfia	K2	colusana_x24
57-Neostapfia	K3	colusana_x18
57-Neostapfia	K4	colusana_x24
57-Neostapfia	NA	colusana_x18
58-Actinemys	K1	marmorata_x77
58-Actinemys	K2	marmorata_x11,pallida_x81
58-Actinemys	NA	marmorata_x10,pallida_x2
58-Anaxyrus	K1	boreas_x19,exsul_x4
58-Anaxyrus	K2	boreas_x38
58-Anaxyrus	K3	canorus_x23
58-Anaxyrus	NA	boreas_x58
58-Anniella	K1	pulchra_x6
58-Anniella	K2	pulchra_x14,stebbinsi_x1
58-Anniella	K3	pulchra_x9,stebbinsi_x2
58-Anniella	K4	sp._x14
58-Anniella	NA	pulchra_x7,sp._x1,stebbinsi_x2
58-Arizona	K1	elegans_x9
58-Arizona	K2	elegans_x25
58-Arizona	K3	elegans_x31
58-Arizona	K4	elegans_x31
58-Arizona	NA	elegans_x25
58-Aspidoscelis	K1	tigris_x41
58-Aspidoscelis	K2	tigris_x61
58-Aspidoscelis	K3	tigris_x13
58-Aspidoscelis	NA	tigris_x13
58-Charina	K1	bottae_x26
58-Charina	K2	bottae_x24
58-Charina	K3	bottae_x17
58-Charina	NA	bottae_x4
58-Crotalus	K1	oreganus_x25
58-Crotalus	K2	helleri_x2,oreganus_x55
58-Crotalus	K3	oreganus_x48
58-Crotalus	NA	oreganus_x33
58-Diadophis	K1	punctatus_x21
58-Diadophis	K2	punctatus_x17
58-Diadophis	K3	punctatus_x33
58-Diadophis	K4	punctatus_x10
58-Diadophis	NA	punctatus_x53
58-Elgaria	K1	multicarinata_x96
58-Elgaria	K2	panamintina_x26
58-Elgaria	K3	multicarinata_x78
58-Elgaria	NA	multicarinata_x19
58-Gambelia	K1	copei_x11,wislizenii_x1,NA_x3
58-Gambelia	K2	sila_x25
58-Gambelia	K3	sila_x7,wislizenii_x60,NA_x8
58-Gambelia	NA	copei_x1,sila_x1,wislizenii_x4,NA_x8
58-Masticophis	K1	flagellum_x47
58-Masticophis	K2	flagellum_x2,lateralis_x35
58-Masticophis	K3	lateralis_x2,taeniatus_x8
58-Masticophis	K4	lateralis_x19
58-Masticophis	NA	flagellum_x6,lateralis_x9
58-Phrynosoma	K1	blainvillii_x7,coronatum_x67
58-Phrynosoma	K2	blainvillii_x12,coronatum_x16
58-Phrynosoma	NA	blainvillii_x1,coronatum_x4
58-Pituophis	K1	catenifer_x51
58-Pituophis	K2	catenifer_x75
